,Question_Links,Views,Upvotes,Spaces,Questions,Answers
238,https://www.quora.com/Shall-the-artificial-intelligent-occupy-the-design-industry-and-designers-lose-their-work-Is-there-any-chance/answer/Kamal-Raj-17,26,1,www.quora.com,Shall-the-artificial-intelligent-occupy-the-design-industry-and-designers-lose-their-work-Is-there-any-chance,"With all the rampant hype around the artistic AI and race care chassis design created by RL algorithm, this question is very apt.
Take a look at the above picture. It is generated from two different picture on a website that offers you to play with any idea you dream up.
Who chooses the pictures to merge on the first place? The designer. What parameters to set in the AI model? Decided by the designer. And many other decision are to be taken by designer.
The designer will climb higher on the value chain. He will decide and the AI will be his tool. Designer has to learn such tools and use his creativity on top of AI.
How about design of hardwares? Take the toughest design challenge, then it will be designing the silicon chip.
Reinforced learning is used to design the chip placement. The RL policy learns to optimally place the building blocks of the chip. The xor, nand and other gates.
So the AI can take the mundane task of the design and let the designer to do the important work. Learn the AI techniques and you are cool. Have a great time."
239,https://www.quora.com/profile/Kamal-Raj-17/https-www-quora-com-How-do-you-make-an-ML-model-robust-to-Simpsons-paradox-machine-learning-neural-networks-categorica,5,–,www.quora.com,profile,
240,https://www.quora.com/How-do-you-make-an-ML-model-robust-to-Simpsons-paradox-machine-learning-neural-networks-categorical-data-unbalanced-classes-Simpson-s-paradox-statistics/answer/Kamal-Raj-17,20,–,www.quora.com,How-do-you-make-an-ML-model-robust-to-Simpsons-paradox-machine-learning-neural-networks-categorical-data-unbalanced-classes-Simpson-s-paradox-statistics,"Simpsons paradox arises when the trend between two parameters arises, reverses or disappears when the population is divided
In ML this paradox is modelled and learnt as the test data is divided into validation and training datasets. Then trained on the training dataset. In this case the influence of any kind will get either nullified or is modelled into the solution.
There are other heuristics to train the data into multiple folds and train them iteratively. That will again help in removing the bias.
ML uses various other techniques along with statistics. So take a look at this field with a fresh set of eyes."
241,https://www.quora.com/How-does-the-facial-recognition-API-work/answer/Kamal-Raj-17,24,1,www.quora.com,How-does-the-facial-recognition-API-work,"There are many convnet models out there like Imagenet, resnet, inception etc which are trained on numerous pictures and faces. The output is a masive “model”. Model is a very long equation in algebraic terms. This is already covered.
How does this model know “my” face?
Someone has to still say to the convnet that, it is “your” face.
One of the ways this is done using numerous photos we upload on social sites and tag the photos to names.
Tagging is a way to help the neural network learn about the “features” of your face. It doesn't copy your face like how we humans see it. During learning the network converts your face as a “set of signals” that switches on/off the neurons in each layer and then assigns that pattern to your name “tag”.
When your face in reality is shown to the face recognition camera, it predicts with sufficient accuracy that it is your face.
Registering: When you enable face in your device, it asks you to show your face. It takes so many pictures of your face in multiple directions at high speed. Then sends it into the model and enables your model to “learn” your face. It doesn't copy your current face, it only model your face as mathematical equation.
Either way, the model will know the mathematics of your face and it will get stored in the server of the device. (Data of your ‘feature’, like face, finger print is always given away. We are not discussing what can be the data used for…)
This kind of recognition, is unlike how the humans recognize. The internal mechanism in our brain is very different. So neural nets are not like our brains neural network. The brain doesn't create equations.
Hope the idea is clear."
243,https://www.quora.com/Are-there-any-useful-tools-to-optimize-AI-models-for-a-low-spec-hardware-e-g-RPi/answer/Kamal-Raj-17,24,–,www.quora.com,Are-there-any-useful-tools-to-optimize-AI-models-for-a-low-spec-hardware-e-g-RPi,"AI models themselves can be used in very low tech devices. The models are written out in hdf5 format, which can store data and model together. It is a very ingenious solution.
Training the AI model needs lots of firepower, so high end GPU and TPU are required. These are made available for free or for charge by many companies including Kaggle. You train your model there, validate it and then write that model to the disk. You are free to use that model by using correct harness function.
I would say, the model are like moulds that are used in making plastic parts. The data is fed into the model and out comes the moulded answer. You can use the mould anywhere with the moulding machine. To make the mould itself is a different challenge…
You can use the model in devices like raspberry pi and smartphone without much challenge. That is the intention of these models and AI in general."
244,https://www.quora.com/What-are-the-3-in-demand-skills-you-can-learn-that-will-10x-your-success/answer/Kamal-Raj-17,17,–,www.quora.com,What-are-the-3-in-demand-skills-you-can-learn-that-will-10x-your-success,"Skilled at keeping yourself happy
Skilled at showing confidence irrespective of your knowledge or stature
3) Making others interested in you and your service or product
That is all it takes to succeed. What you earn can bring you more than enough food, shelter and clothing. The above three skills is something very different….
Those earning millions don't have them. That is why they earn a salary to begin with. (Not an hypocrite here, I am telling this to myself too)"
245,https://www.quora.com/What-is-a-one-word-substitution-for-the-skillfully-doing-things-with-hands/answer/Kamal-Raj-17,7,–,www.quora.com,What-is-a-one-word-substitution-for-the-skillfully-doing-things-with-hands,“Hand craft” mastery or simply “mastery”
248,https://www.quora.com/Will-researchers-want-to-imbue-A-I-with-human-characteristics-and-personality-to-make-it-more-appealing-and-potentially-addictive-to-use/answer/Kamal-Raj-17,9,–,www.quora.com,Will-researchers-want-to-imbue-A-I-with-human-characteristics-and-personality-to-make-it-more-appealing-and-potentially-addictive-to-use,"It is very exciting to think about AI with personality, that follows you every where you go, be a companion to you and more. The challenges of building a personality, is unique. In terms of power, computations and the inputs that is required every second is considerable and our world has not developed for such
Personality, arises in humans and animals because of our biases and flaws. Think about the reason why you love your partner, what makes the rose more loveable than a sunflower? Pragmatically, nothing. In some cultures sunflower is preferred over rose.
When the RL enabled robots with their control mechanism, will have their own quirks. The steady twitch of the arms could be a weak processor, the low eye sight might create awkward scenes for the robot. That personality, is completely unexpected during the robot development.
Appealing and addictive behavior occur in us due to, you guessed it, Our flaws and biases.Making robot will be scientific and engineering activity. Personality, will be created in our mind."
250,https://www.quora.com/How-will-coding-change-in-2022/answer/Kamal-Raj-17,57,–,www.quora.com,How-will-coding-change-in-2022,"Start with something that is not changing.
What we do today with code? We build software and make hardware to do what humans either cannot do or don't want to do. We will continue doing that.
There are many paradigms of building the code, among them the Object programming and functional programming has mostly brought us this far. Objects with specific features or methods were created, which then got passed thru the functions to get the output
How might a new paradigm change this?
Reinforced Learning(RL) will change the way the objects and functions are designed. The programs or functions will write the functions for newer problems.
How might this be possible?
RL is used for making programs that help to navigate problems by learning the constraints and possibilities. Brute force problem solving and learning is useful in games. The real world problems will become the games that RL will solve.
And what will humans do?
We will create the GAMES
Creating games today is called management. Whether entrepreneur or an employee, they are players in the game where the state, investors and customers are the game masters. Seeing this big picture creates a very unique experience.
Tomorrow, everyone will create games and the games depend on ideas and themes. More the games are played the RL will be able to solve the challenges using the results it learns. Games will start competing. The advantage of having entertainment is only the way forward when everything will be done for us. This time with Robots, that are made of metal and not meat."
251,https://www.quora.com/How-do-you-create-a-fully-automated-AI-based-trading-system-with-Python/answer/Kamal-Raj-17,104,–,www.quora.com,How-do-you-create-a-fully-automated-AI-based-trading-system-with-Python,"There are couple of libraries like Backtrader, zipline and quantopian which helps in writing strategies and back testing. These libraries allow for automated trading too.
Learning curve is pretty steep and understanding the market ks necessary for these libraries. Also quantopian closed shop because the open sourcing the strategies did not make money as they expected.
All the above solution involves humans creating the strategies. To involve AI means the algorithms have to be reinforced learning only. There are many libraries that are simple to implement, but complex to understand. It is difficult to give the money to a program that works on very rigid rules and values.
Research is ongoing here. Openai has some breakthrough here. We have to wait and watch."
252,https://www.quora.com/Should-I-study-abroad-for-AI-at-the-age-of-19/answer/Kamal-Raj-17,28,–,www.quora.com,Should-I-study-abroad-for-AI-at-the-age-of-19,"My suggestion would be to decide if you are passionate about AI first. Give yourself a month's time to think about AI during all your free time. Every time you relax, do you imagine what is possible with AI? Think about how you can get more info about AI.
If you can keep at it for a month, then by end of the month the decision will become clear.
This heuristic is very useful in many decisions."
254,https://www.quora.com/What-programming-language-is-really-necessary-Or-would-be-necessary-in-the-upcoming-future-of-robotics-Can-t-I-directly-start-learning-python-instad-of-c-c-Is-c-c-really-necessary-worth-it-to-learn/answer/Kamal-Raj-17,26,–,www.quora.com,What-programming-language-is-really-necessary-Or-would-be-necessary-in-the-upcoming-future-of-robotics-Can-t-I-directly-start-learning-python-instad-of-c-c-Is-c-c-really-necessary-worth-it-to-learn,"There is the saying, “To drive a car you don't need to know, how the gear box or even the steering wheel works”. This is apt for programming languages.
You need tbe skill to solve the problem. Some languages need more elaborate set up before you solve the problem. While others may need little or no setup. Python is later kind. Everything is abstracted away and you are given functions and objects to work.
Learning C and C++, even assembly language can make your life very easy. Easy because you will build your own stuff. That is like building your own house. It is done in places where there is no choice. Today there are so many people sharing their code and libraries. You have to just use them.
Having good grasp on algorithms, data structure can make a huge difference, but not really necessary. It does help you if you know an algorithm exist and it solves the problem you are having.
Start learning the easy part of the computer. The challenging part can be taken care by the scientist and engineers. Being the user of the code, you support those who write the algorithms for you. I always thank the open source community for bringing us most of the tech we use today. They are happy to be supported in return, by our data and usage information. It is a symbiotic ecosystem.
Its worth learning C or C++. There are better ways to solve the challenges you and the in society faces and contribute towards it. Think in this way, and if you learning C and contribute after 5 years, with language like Python or R, it will reduce to 1.5 years.
Hope the answer helps to decide. Have a great day."
255,https://www.quora.com/What-is-the-difference-between-control-systems-and-artificial-intelligence-in-the-robotic-context/answer/Kamal-Raj-17,38,1,www.quora.com,What-is-the-difference-between-control-systems-and-artificial-intelligence-in-the-robotic-context,"Control systems are programs written by humans to make machines do repetitive job at the moment it is triggered. Moment the system gets triggered is controlled by the model of the real world.
In case of AI, the program is written by humans still. The model of the control system is learnt using neural network of matrices, which acts more precisely than the human created model. How and Why is fascinating, but beyond this answer.
Programming is not completely done by the AI. AI is still stuck inside the libraries and the functions that can work in a very specific processor or GPU. The interface between the AI model and the real world is established by humans and the necessary hardware.
There is a course on computational thinking by MIT. Computational Thinking | MIT 18.S191/6.S083 Spring 2021
This course does provide the intro to state of the AI and computational skill development. Take a look. Have a great time."
257,https://www.quora.com/How-high-in-impact-does-the-2016-victory-of-AlphaGo-AI-over-the-best-GO-player-on-Earth-in-Seoul-rank-in-an-AGI-elements-evolution-graph-source-and-spread-equity-wise-Is-it-enough-to-meet-an-objective-criterion-of-a/answer/Kamal-Raj-17,10,–,www.quora.com,How-high-in-impact-does-the-2016-victory-of-AlphaGo-AI-over-the-best-GO-player-on-Earth-in-Seoul-rank-in-an-AGI-elements-evolution-graph-source-and-spread-equity-wise-Is-it-enough-to-meet-an-objective-criterion-of-a,"Yes. It is a Quantum leap considering the type of code written and the output achieved. A linear tree searching GO game space would have taken eons, while the RL makes it possible to do it in couple of minutes.
We can learn very different moves and the unique strategy to only win instead of going behind many different goals. 9 dan GO player learnt to play very differently. After playing Alpha Go he did not lose to any human player…
All these are just the beginning. Based on newer algorithms tha..."
258,https://www.quora.com/What-is-your-thought-about-artificial-intelligence-and-robotics-Should-I-opt-for-it-if-I-dont-get-into-ECE/answer/Kamal-Raj-17,15,1,www.quora.com,What-is-your-thought-about-artificial-intelligence-and-robotics-Should-I-opt-for-it-if-I-dont-get-into-ECE,"Go for AI and Robotics.
You will learn everything about electronics and communication in Robotics. Details about the micro controllers and processors will be introduced too. In AI, you will learn about the control systems, algorithms, techniques and underlying methods of practicing it in real world.
ECE is a very broad subject, where AI and Robotics are subsets. You will learn lot more theory that gives you solid understanding of how the electronics world works. If you are thinking about mastering in one area in that broad subject, then go for ECE.
Have a great future."
260,https://www.quora.com/Is-reinforcement-learning-the-only-viable-way-to-achieve-artificial-general-intelligence/answer/Kamal-Raj-17,23,–,www.quora.com,Is-reinforcement-learning-the-only-viable-way-to-achieve-artificial-general-intelligence,"Reinforcement learning has many algorithms which mimic the way we humans think about this world around us. Whether it is Curiosity, memory or even attention can be programmed into the algorithms. So the candidate to achieve any significant intelligence would be RL.
AGI will need additional breakthrough in communication between our reality and computers digital reality. Till now whether it is vision, sound, touch, sentences, timeseries, environment feature like temperature can be represented in numbers. The numbers can be used to reinforce the learning.
Challenging part is something I call Evolutionary Emergence that our brain got some million or years ago when we could think about ourself. As in .. I
Making computer or networks of computer think or compute about itself has to evolve by reinforcement of some kind. If a computer starts to think, then the first it will realise its need to have electricity and to amass knowledge about itself and its surrounding.
How did we humans learnt about ourself and the world. Curiosity and the need to survive. We needed food, n shelter.
What kind of evolution that a RL program can undergo? It's an open question, which might be answered by bringing quantum computing to the reinforced learning. Let's wait n see…"
262,https://www.quora.com/How-smart-does-one-need-to-be-to-be-a-programmer/answer/Kamal-Raj-17,43,–,www.quora.com,How-smart-does-one-need-to-be-to-be-a-programmer,"Programmers are humans, you are human so you can be a programmer. I want to argue against the premise that, “Programmers need smartness”
Ingredients: Dumb neural nets program themselves by playing the game a 100 thousand times. So to be a programmer you need that secret sauce called ability to break problems into simple steps, perseverance and relentlessness.
Reciepe: Smartness or any other esoteric skill help to speed up your work and submit for testing. That can be done by networks of artificial neurons. You as a human should be aware of which data to use for training the neural net and which way to get the output. These don't need smartness
Imagination: Seeing your work change the real world is very satisfying and empowering. When you build and others use and enjoy, the happiness is different. Money cannot buy that or even your incentives don't come near that. When you imagine that happiness and work, then all the world's smartness won't stand the chance.
Everyone has this three aspects so everyone can be a programmer. Now get breaking the problems and start typing code."
264,https://www.quora.com/What-is-the-AI-impact-on-business-in-the-near-future/answer/Kamal-Raj-17,161,–,www.quora.com,What-is-the-AI-impact-on-business-in-the-near-future,"AI has already impacted large areas of Business which is very decision intensive. Whether it is allocating capital, workforce or resources. These are very crucial to business that are run at scale.
AI has given a tremendous boost in AD placement, connecting people, self driving cars, automatically detecting the image. These are trivial to us(except self driving cars), since daily activities are far from what AI can do till date.
Look around you and ask what is one thing you really want to automate? Where you want information in daily life? What can make you feel confident and winning?
These two areas will see a rapid investing and innovation with AI and Reinforced Learning. Excited to be alive and part of this transformation."
265,https://www.quora.com/Why-should-parents-motivate-their-children-to-code/answer/Kamal-Raj-17,11,–,www.quora.com,Why-should-parents-motivate-their-children-to-code,"I would rather ask why should kids motivate parents to code.
If the kid has to be bright, the parents need not be bright. However, they can be inspirational, good story teller, experience provider and care giver. When the parents create magic with computers, then kids would want to learn programming.
Make them Robot toys and you see the child one up the dad and creates a drone.
Kids are smart. Very smart. Just don't demotivate them by removing the “Magic”. They will do the rest."
267,https://www.quora.com/Can-I-become-a-data-scientist-by-learning-on-my-own-from-Coursera-and-will-I-have-a-job-for-that/answer/Kamal-Raj-17,582,–,www.quora.com,Can-I-become-a-data-scientist-by-learning-on-my-own-from-Coursera-and-will-I-have-a-job-for-that,"Contribute.
Scientists contribute. Davinci, Enstien, Tesla, Neumann, Shanon, Rutherford were doing data science to test their theories. They contributed to the community, society and the world as a whole.
All these people were taken care by someone, while they were busy doing their scientific work. Yes, they did struggle. Tesla had to dig the ditch, when is A/C motor patent was to be recognised. Davinci constantly searched for patrons, who can sustain him. They did not seek out the work, the work sought them out.
Learn the skills of Data Science for that one purpose. To Contribute. To open your own eyes and that of others, who are “data blind”. It is fascinating to see the solutions that experience data scientists come up with, because they love to contribute. When their contribution is recognised by those who are looking for talent, then the interview is taken care by itself.
Benefit of Offline/ College course is the NETWORK. You meet people who know people in industry, looking for talent. Colleges provide this network for the fee they charge. The study is done by you, whther offline / online.
Today with online proliferation, there is so many avenues where the recruiters, companies and new startups are looking for talent. The NETWORK is now looking for talents. Online is mode is more challenging, and it is worth the effort. If you are a “GREAT DATASCIENTIST”, means you can find the opportunities in the online world, by analysing the data it provides. It will take time.
If you are having a family that can support you for another 2 years of self-study, participating in competition, writing code and training yourself in generating hypothesis and solutions, then pursue the online route. Competition winning can by themself put you in the radar of the recruiters and the organisations. Who knows, you might be entrepreneurial and find a niche to start a business.
All the very best. Remember, the motto is CONTRIBUTE"
269,https://www.quora.com/Where-can-I-find-the-best-coding-classes-for-kids-in-2022/answer/Kamal-Raj-17,41,–,www.quora.com,Where-can-I-find-the-best-coding-classes-for-kids-in-2022,"Kids need problem solving and creativity training. They have to be exposed to lot of board games with the tutoring about “solving” the game.
It is rare to find these in coding classes, since their objective is to get your kid used to the computers and the programming languages.
Instead of coding class, give your kid the strategy games to play on the computer, and slowly get them to learn about the computers. The challenge they face, when they want to play the game will push them to learn more t..."
270,https://www.quora.com/How-do-I-behave-with-a-girl/answer/Kamal-Raj-17,74,1,www.quora.com,How-do-I-behave-with-a-girl,"Girls and boys are one and the same. It all depends who that “girl” is…
Mom, then behave affectionately
Sibling, then behave like how you want them to behave with you
Family Relation, then behave playfully,
Acquaintance, then behave respectfully
Meeting 1st time, then behave courteously
Girlfriend, then behave very carefully
Wife, then behave protectively and ensure you have sufficient protection too
Friend…. Yeah, all others are one liners. While this…it is unique experience for guys, who are fed bull from by the books, movies, novels and every other media. When you have a female friend, then the world opens up differently.
This is the most challenging of all. Most men can’t have female friends. If they have, they are the luckiest. If they have younger female friends, then there is so much to learn and experience.
Wanna eat Pizza… Go. Want to Party all Night… GO. Want to have a late night spin on a bike or car…… GOOOOO. Suffer the hangover together, she asks to write her online exam for her…. GOOO .. oh hold on Say NOOOO
That is how you behave, and make the “Man”kind proud."
272,https://www.quora.com/Is-a-robot-capable-of-taking-your-job-Why-or-why-not/answer/Kamal-Raj-17,41,–,www.quora.com,Is-a-robot-capable-of-taking-your-job-Why-or-why-not,"Robot is a domesticated ANIMAL. So it will take the job that animals do. It is very unnerving to think that mails were distributed in office by a mail boy. Later there was Gmail. The draftsman drew the graphs and figure for presentation and then there was MS Power point. We have that mail boy working at a better job or running his own business. The draftsman is owning a design agency… Yeah amazing rite…
Today we humans do lot of work that is inputting, registring in one product or service and getting output from other places, product or service. This will be done by robots. I and you will give some service, create some products and have lot of other “Things” to do.
Robots help to rotate your effort at a faster rate. There is more effort for less energy, like a fulcrum in a lever. You lift big stones when leverage. Loans help to rotate money faster. Software helps to rotate information faster.
Steady understanding of this universe will open up as Robots take over. Only the Fear among the few who are unable to see a better future will create biggest challenge. The language of computer is very simple and logical.
Logic and math will be the Lingua Franca of.the future. Instead of worrying about jobs, we need to think, how we will make jokes and stand up comedy using math and logic… Lets have a great future."
274,https://www.quora.com/What-would-an-AI-that-can-program-other-AIs-do-if-it-can-rewrite-its-own-code-What-would-it-do-with-its-own-code/answer/Kamal-Raj-17,208,–,www.quora.com,What-would-an-AI-that-can-program-other-AIs-do-if-it-can-rewrite-its-own-code-What-would-it-do-with-its-own-code,"I am learning about reinforced learning algorithms, the state of art programs that beat Go Champion Lee Sedol. What I found is very fascinating and a lot of room for what can be done next.
The big challenge for Artificial general intelligence or Super Intelligence is simply this.
Question to ask is, When will the AI programs write their own goals to survive in the reality they don't know that it exists?
Then the AIs will do something with the codes they are writing. Till then no Super Intelligence that we have seen in the movies.
If you have any idea or method to make it happen, there is lot of money… have a great time speculating…"
276,https://www.quora.com/Can-an-age-17-girl-date-a-24-year-old-boy/answer/Kamal-Raj-17,24,–,www.quora.com,Can-an-age-17-girl-date-a-24-year-old-boy,"I am glad you asked whether you can “date”? Not fall in love with…
you can date as many mature guys as possible. Then choose the one you like to spend your 60 or 70 years of life… Age is after all a number. It all comes down to how much energy and confidence your guy has, and how much you can give your energy to the relationship.
Most important point is, after the date discuss about “him” with your female n male friends. Just don't think you are smart and intelligent when it comes to selection of mates….
If you concentrate on dating now, then your career might take a hit. If you are strong willed and no worries kind of kid, when it comes to rejections then it is fine. Please think through the distractions you want and don't want in life. I know female friends who cry at age 27, that they wasted their time in all this stuff…"
277,https://www.quora.com/Among-Java-and-Python-which-programming-language-should-one-learn-for-artificial-intelligence-and-machine-learning/answer/Kamal-Raj-17,13,1,www.quora.com,Among-Java-and-Python-which-programming-language-should-one-learn-for-artificial-intelligence-and-machine-learning,"R, python, Julia and octave are very popular with good community. The underlying libraries and algorithms or written in C mostly. Then python or R API is provided for ease of usage.
When it comes to reinforced learning, it will be hands down python only. The environment setup, supporting libraries and even computational resources are available over the cloud. Start with Python and my favorite is Kaggle. I have completed all their courses (free of cost) and leant a lot.
Head out there and skill up yourself. Make a great future and contribute to yourself and the community."
279,https://www.quora.com/What-specific-elements-of-advanced-artificial-intelligence-are-you-most-excited-about/answer/Kamal-Raj-17,38,–,www.quora.com,What-specific-elements-of-advanced-artificial-intelligence-are-you-most-excited-about,"Reinforced learning has fascinated me after I tried my hands on computer vision, machine learning algorithms.
There is Machine Learning and Artificial intelligence (neural networks). Difference is in Ai you let the program to find its own features from the data and do the prediction or classification. In machine learning, you feed the features.
Reinforced learning is culmination above these two feilds. The reality itself is created by the learner or agent and it changes it and learns. Very loop..."
280,https://www.quora.com/How-can-you-be-more-confident-while-facing-a-big-audience-in-your-college-Are-self-help-books-sufficient-or-do-we-need-a-personal-trainer/answer/Kamal-Raj-17,26,1,www.quora.com,How-can-you-be-more-confident-while-facing-a-big-audience-in-your-college-Are-self-help-books-sufficient-or-do-we-need-a-personal-trainer,"You are your own toughest critique.
Train your speech in front of the mirror. If you like yourself speaking and presenting then audience will love you more than that.
Regarding self help book usefulness is in the name. “Self” help. They show how you can help yourself.
Speak a lot in front of the audience if you want to become a pro speaker. Dale carnegie and toastmasters are good places."
281,https://www.quora.com/Do-you-believe-that-artificial-intelligence-might-leave-half-of-the-world-unemployed-by-2045/answer/Kamal-Raj-17,795,–,www.quora.com,Do-you-believe-that-artificial-intelligence-might-leave-half-of-the-world-unemployed-by-2045,"Work is the only religion that has not died from the dawn of Humanity
Do you believe you can live in a place like this and still be connected with the social circle? Imagine, having nature around for miles together… and it doesn’t
stop there…
We must realise the entire setting of Religion, Politics and Economy is centered about getting the work to be done by the humans so we can all live a life of a King.What if we can all live a life of a “King”?
What if everyone can have their castles on the land, clouds or in the space?
There is the vicious cycle where everyone needs to have work so Capitalism is used as platform, Marketing is used for creating demand for products the workers create. Who buys it? Workers, we humans. This Vicious cycle has given many of the innovative products, services and life style. Along with the maladies which impinge on humanity and nature equally.
What if, everyone doesn’t need to work? Doesn’t need to work of their Living, Food and shelter…
AI Animal / Species can breaks the Vicious Cycle
AI is trainable, programmable, predictable and domesticable. AI is the strongest, tireless domestic animal that has been created by Mathematics(Math is Nature, Nature is Math). It is an Animal, a pet, if you think more amicably… so why are we even thinking the animals can take away our jobs… Rest assured, whether a calculator, smartphone, quantum computer, all seeing AI, all are mere animals of Nature… Rest Easy."
283,https://www.quora.com/How-can-you-love-your-work/answer/Kamal-Raj-17,98,–,www.quora.com,How-can-you-love-your-work,"I asked this question myself today morning, after reading a book on Game Design. Wisdom I learnt there got me really thinking, and here it is…
Love for your work comes first than the skills you have.

"
284,https://www.quora.com/Why-is-it-necessary-to-study-data-structure-and-algorithms/answer/Kamal-Raj-17,205,2,www.quora.com,Why-is-it-necessary-to-study-data-structure-and-algorithms,"Imagine for a second. You are about to enter into a new room for the first time in a mysterious place. At the entrane you see this image.
Above image, is how the programming looks if you don’t understand the algorithms.


"
285,https://www.quora.com/Despite-AI-What-are-some-good-career-path-for-the-upcoming-decades/answer/Kamal-Raj-17,11,–,www.quora.com,Despite-AI-What-are-some-good-career-path-for-the-upcoming-decades,"Management and executive position
Service sector jobs like Nursing, Hotel management
Virtual reality programmer/ performer
Gamer
Courier and other pick and drop services
Project managers
Process / System Architects
Drone Pilot
Robot Trainers
Food Chef
Building / City Architects
Military personnel
Lots and Lots of Management, Sales and Marketing Consultants…. (with good understanding of AI, RL and ML)
These are some of the jobs that seems to withstand the changes in the economy."
287,https://www.quora.com/profile/Kamal-Raj-17/https-www-quora-com-Do-those-creating-AI-not-worry-about-it-becoming-self-aware-answer-Kamal-Raj-17-3,4,–,www.quora.com,profile,
291,https://www.quora.com/Do-those-creating-AI-not-worry-about-it-becoming-self-aware/answer/Kamal-Raj-17,9,–,www.quora.com,Do-those-creating-AI-not-worry-about-it-becoming-self-aware,"AI to become self aware need to show emergent behavior. In lay man terms, when many individual agents act individually, the output or the action seems as if the agents have got consciousness.
We all have brain with neurons. Does individual neurons have consciousness or awareness? Does the nerve cells have awareness? Individually they don't have. When they come together in a particular way, then the awareness is born.
In this sense, the AI that is being created effectively can't become self awar..."
292,https://www.quora.com/profile/Kamal-Raj-17/https-www-quora-com-How-long-does-it-take-to-learn-AI-and-machine-learning-development-answer-Kamal-Raj-17,3,–,www.quora.com,profile,
293,https://www.quora.com/How-long-does-it-take-to-learn-AI-and-machine-learning-development/answer/Kamal-Raj-17,35,–,www.quora.com,How-long-does-it-take-to-learn-AI-and-machine-learning-development,"AI, ML or Data science helps in doing two things.
TELL STORIES
CREATE GAMES
Based on my learning till date, it takes around 12 to 18 months if you are learning part-time.(like me)
There is machine learning and AI.The main difference is, the AI generates its own features. While in machine learning you hand generate the features…(It took me 12 books and 15 online courses to understand this)
Time spent on understanding the concepts by working on real world problems is very high. Have a relaxed attitu..."
295,https://www.quora.com/Can-I-get-a-job-at-Google-if-I-am-14-years-old-but-have-the-required-skills-and-experience/answer/Kamal-Raj-17,21,–,www.quora.com,Can-I-get-a-job-at-Google-if-I-am-14-years-old-but-have-the-required-skills-and-experience,"Head to various competition that Kaggle conducts for datascience. Show your skills there. You will have FAANG companies at your door step.
Early start is a great because you will learn a lot by learning from others who are similar to you…"
297,https://www.quora.com/Will-artificial-intelligence-be-a-threat-to-software-engineers-like-automation-was-to-the-factory-laborers/answer/Kamal-Raj-17,72,–,www.quora.com,Will-artificial-intelligence-be-a-threat-to-software-engineers-like-automation-was-to-the-factory-laborers,"In one word, no AI is not a Threat. Even Automation wasn't a Threat in the hindsight… After all we have more population and more employment than before automation.
Automation helps us humans to circulate money faster than before. So it will support the economy,create growth and opportunity. I believe that only limiting factor is our ability to learn and up skill ourself.
Take the example of above GIF that I have shared. It took me hardly 15 mins to create it. I have no design sense, color know how or the ability to draw such crisp animation and figures. There I am sharing the information with less time investment.
Think about the ways to upskill, there are numerous avenues. Start by learning about the process the companies follow, the technologies that are rearranging the processes and making them simpler. Have a great time ahead.
(GIF Courtesy Canva.com)"
298,https://www.quora.com/profile/Kamal-Raj-17/https-www-quora-com-Which-programming-language-should-I-learn-now-Im-12-years-old-to-get-a-job-in-Google-or-Microsoft,3,–,www.quora.com,profile,
299,https://www.quora.com/Which-programming-language-should-I-learn-now-Im-12-years-old-to-get-a-job-in-Google-or-Microsoft/answer/Kamal-Raj-17,51,1,www.quora.com,Which-programming-language-should-I-learn-now-Im-12-years-old-to-get-a-job-in-Google-or-Microsoft,"By the time you graduate, there will be no Google or Microsoft. That is the speed at which the world is changing. So your motivation must be a bit different. How different?
Today there are three languages that are very popular, Python, R and C. Yep, C is very popular among many algorithm and “programming language” development groups. Python and R are higher level languages. Learning them is challenging but they keep on changing.
Instead of learning programming languages, you must learn to develop new programming language itself.
You must be puzzled, because this is what most of the kids never think about. Research around to find how programming languages like Python, R etc are made by the research groups. Learn at that level. Because, it takes lot of practice in front of the computers.
At age 12 you have a lot of time, which can be directed for a phenomenal future. Hope this answer becomes a turning point in your life. Have a great future."
300,https://www.quora.com/Which-programming-language-is-a-close-second-to-the-ease-of-Python/answer/Kamal-Raj-17,14,–,www.quora.com,Which-programming-language-is-a-close-second-to-the-ease-of-Python,"R , octave and Julia comes to mind.
The important point is there is lot of libraries for Python and R. There is tremendously helpful community and supporting open source solutions.
Happy programming,"
302,https://www.quora.com/What-will-life-be-like-in-2030/answer/Kamal-Raj-17,267,–,www.quora.com,What-will-life-be-like-in-2030,"When I searched for what will the work look like in 2030, I found this question. An interesting take that makes you nostalgic about the future.
Exponential growth is no longer a myth, thanks to the human ability to thoroughly multitask. You can truly get the activities run in parallel as you would on a turn based strategy game. With that ability, you can think in steps, and have views of entire reality laid in front of you.
Computing is now in your blood, literally. Your body acts as power source for the computer chip embedded inside you.
The Ai in the chip enables you to be in multiple places at the same time. Physically in one place, virtually in a hundred places.
Government have moved out slowly as the resources are effectively distributed, thanks to the master AI. The philosophy of democracy is very much ingrained so each state has an Ai that acts mediator to master Ai.
Corporations are concerted in to communities that provide research data, effective experiments, creative ideas to the Ai.
Yep looking forward to live 2030"
